"A1_CITY","A2_PROVINCE","B3_GENDER","B4_AGE","B5_RELIGION","B6_ETHNIC","B7_EDUCATION_LEVEL","B8_LIVED_IN_URBAN_AREA_YEARS","B9_OCCUPATION","B10_SOCIAL_CLAS","B11_HOUSEHOLD_MEMBER","C12_HOUSEHOLD_INCOME_MONTHLY_IN_MILLION_IDR","C13_TIME_OF_INCOME_RECEIPT","C14_HOUSEHOLD_EXPENDITURE_MONTHLY_IN_MILLION_IDR","C15_%_MONTHLY_EXPENDITURE_FOR_FOOD","D16_HEALTH_FACTOR","D17_PRICE_FACTOR","E18_RELIGIOUS_VALUE_IN_TYPE_OF_FOOD","E19_RELIGIOUS_VALUE_IN_EATING_PLACES","E20_RELIGIOUS_VALUE_IN_CONSUMPTION_PATTERN","E21_CUSTOM_VALUE_IN_TYPE_OF_FOOD","E22_CUSTOM_VALUE_IN_EATING_PLACES","E23_CUSTOM_VALUE_IN_CONSUMPTION_PATTERN","24_PRACTICE_OF_FOOD_CONSUMPTION_BASED_ON_RELIGIOUS_RULES","25_PRACTICE_OF_FOOD_CONSUMPTION_BASED_ON_CUSTOM_RULES","E26_BUYING_FOOD_PRODUCT_IN_THE_RIGHT_PLACE_BASED_ON_RELIGIOUS_RULES","E27_TYPE_OF_DISHES_VARIATION_BASED_ON_RELIGIOUS_RULES","E28_PRACTICE_OF_CONSUMING_TRADITIONAL_FOOD","SOURCE_FILE","PROCESS_DATE"
"SURABAYA","EAST JAVA","FEMALE","27","ISLAM","JAVA","MASTER AND DOCTORAL DEGREE","27","PRIVATE EMPLOYEES","UPPER CLASS","6","11:02:00","MONTHLY","10:09:00","27","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","62","ISLAM","JAVA","PRIMARY SCHOOL","23","PRIVATE EMPLOYEES","LOWER CLASS","6","03:08:00","DAILY","03:05:00","67","NEITHER AGREE NOR DISAGREE","DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","37","ISLAM","MADURA","PRIMARY SCHOOL","37","PRIVATE EMPLOYEES","MIDDLE CLASS","6","06:02:00","WEEKLY","05:09:00","36","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","49","ISLAM","MADURA","BACHELOR DEGREE","31","PRIVATE EMPLOYEES","MIDDLE CLASS","7","05:08:00","WEEKLY","05:04:00","42","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","33","ISLAM","JAVA","DIPLOMA","33","PRIVATE EMPLOYEES","LOWER CLASS","6","03:01:00","DAILY","02:07:00","73","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","42","PROTESTANT","BATAK","DIPLOMA","42","PRIVATE EMPLOYEES","LOWER CLASS","6","03:04:00","DAILY","03:00:00","41","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","30","CATHOLIC","MADURA","BACHELOR DEGREE","30","PRIVATE EMPLOYEES","MIDDLE CLASS","6","05:06:00","WEEKLY","05:02:00","33","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","50","CATHOLIC","BATAK","BACHELOR DEGREE","20","TEACHER/LECTURER","UPPER CLASS","6","12:01:00","MONTHLY","11:07:00","19","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","35","ISLAM","JAVA","BACHELOR DEGREE","35","TEACHER/LECTURER","LOWER CLASS","6","02:09:00","DAILY","02:05:00","69","AGREE","AGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","42","ISLAM","MADURA","SENIOR HIGH SCHOOL","42","GOVERNMENT EMPLOYEES","UPPER CLASS","5","10:03:00","MONTHLY","09:09:00","23","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","28","ISLAM","MADURA","DIPLOMA","28","GOVERNMENT EMPLOYEES","UPPER CLASS","6","14:02:00","MONTHLY","13:08:00","25","AGREE","DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","28","ISLAM","MADURA","BACHELOR DEGREE","28","GOVERNMENT EMPLOYEES","LOWER CLASS","6","03:04:00","DAILY","03:01:00","57","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","38","ISLAM","MADURA","MASTER AND DOCTORAL DEGREE","38","GOVERNMENT EMPLOYEES","MIDDLE CLASS","6","06:07:00","WEEKLY","06:04:00","43","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","63","ISLAM","MADURA","JUNIOR HIGH SCHOOL","12","GOVERNMENT EMPLOYEES","MIDDLE CLASS","6","05:08:00","WEEKLY","05:05:00","38","STRONGLY AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","35","CATHOLIC","BUGIS","DIPLOMA","35","POLICE OFFICER/ARMY","LOWER CLASS","6","02:03:00","DAILY","02:00:00","61","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","30","ISLAM","JAVA","BACHELOR DEGREE","30","POLICE OFFICER/ARMY","MIDDLE CLASS","7","04:09:00","WEEKLY","04:06:00","58","STRONGLY AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","61","ISLAM","SUNDA","BACHELOR DEGREE","30","PRIVATE EMPLOYEES","MIDDLE CLASS","6","05:09:00","WEEKLY","05:06:00","34","STRONGLY AGREE","DISAGREE","DISAGREE","STRONGLY AGREE","DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","30","ISLAM","JAVA","MASTER AND DOCTORAL DEGREE","30","PRIVATE EMPLOYEES","UPPER CLASS","6","11:04:00","MONTHLY","11:01:00","26","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","45","HINDU","BALI","MASTER AND DOCTORAL DEGREE","15","GOVERNMENT EMPLOYEES","LOWER CLASS","6","03:00:00","DAILY","02:06:00","57","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","27","PROTESTANT","JAVA","BACHELOR DEGREE","27","POLICE OFFICER/ARMY","UPPER CLASS","6","15:07:00","MONTHLY","15:03:00","24","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","26","CATHOLIC","MINANG","BACHELOR DEGREE","26","PRIVATE EMPLOYEES","UPPER CLASS","6","13:02:00","MONTHLY","12:08:00","27","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","52","CATHOLIC","BUGIS","SENIOR HIGH SCHOOL","22","PRIVATE EMPLOYEES","MIDDLE CLASS","5","03:04:00","WEEKLY","03:00:00","67","DISAGREE","DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","AGREE","DISAGREE","DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","59","ISLAM","JAVA","JUNIOR HIGH SCHOOL","29","PRIVATE EMPLOYEES","MIDDLE CLASS","6","06:08:00","WEEKLY","06:04:00","36","AGREE","AGREE","STRONGLY AGREE","DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","DISAGREE","DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","34","ISLAM","JAVA","SENIOR HIGH SCHOOL","34","ENTERPRENEUR","MIDDLE CLASS","5","04:08:00","WEEKLY","04:04:00","42","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","35","ISLAM","MADURA","SENIOR HIGH SCHOOL","35","ENTERPRENEUR","LOWER CLASS","5","02:09:00","DAILY","02:05:00","73","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","60","ISLAM","MADURA","JUNIOR HIGH SCHOOL","20","ENTERPRENEUR","LOWER CLASS","6","03:05:00","DAILY","03:01:00","41","STRONGLY AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","50","ISLAM","JAVA","SENIOR HIGH SCHOOL","34","ENTERPRENEUR","MIDDLE CLASS","5","05:07:00","WEEKLY","05:03:00","33","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","40","PROTESTANT","BATAK","MASTER AND DOCTORAL DEGREE","40","GOVERNMENT EMPLOYEES","UPPER CLASS","6","11:03:00","MONTHLY","10:09:00","19","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","30","PROTESTANT","BATAK","BACHELOR DEGREE","30","GOVERNMENT EMPLOYEES","LOWER CLASS","6","02:07:00","DAILY","02:03:00","69","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","61","CATHOLIC","BUGIS","BACHELOR DEGREE","11","GOVERNMENT EMPLOYEES","LOWER CLASS","6","10:01:00","DAILY","09:07:00","23","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","32","CATHOLIC","BUGIS","BACHELOR DEGREE","32","GOVERNMENT EMPLOYEES","MIDDLE CLASS","6","12:05:00","WEEKLY","12:01:00","25","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","43","ISLAM","JAVA","DIPLOMA","23","GOVERNMENT EMPLOYEES","MIDDLE CLASS","6","03:02:00","WEEKLY","02:08:00","58","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","29","ISLAM","JAVA","BACHELOR DEGREE","29","PRIVATE EMPLOYEES","UPPER CLASS","7","06:02:00","MONTHLY","05:08:00","44","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","36","ISLAM","MADURA","MASTER AND DOCTORAL DEGREE","22","PRIVATE EMPLOYEES","LOWER CLASS","6","06:04:00","DAILY","06:00:00","35","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","40","ISLAM","MADURA","MASTER AND DOCTORAL DEGREE","30","PRIVATE EMPLOYEES","LOWER CLASS","6","03:07:00","DAILY","03:03:00","59","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","55","ISLAM","SUNDA","JUNIOR HIGH SCHOOL","21","PRIVATE EMPLOYEES","MIDDLE CLASS","6","05:09:00","WEEKLY","05:05:00","65","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","33","ISLAM","MINANG","DIPLOMA","33","ENTERPRENEUR","MIDDLE CLASS","6","06:07:00","WEEKLY","06:03:00","41","DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","34","ISLAM","MADURA","DIPLOMA","34","ENTERPRENEUR","UPPER CLASS","6","10:09:00","MONTHLY","10:05:00","26","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","28","ISLAM","MADURA","SENIOR HIGH SCHOOL","28","ENTERPRENEUR","UPPER CLASS","5","03:09:00","MONTHLY","03:05:00","76","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","30","CATHOLIC","BATAK","DIPLOMA","30","ENTERPRENEUR","UPPER CLASS","6","09:08:00","MONTHLY","09:04:00","22","AGREE","AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","MALE","29","ISLAM","MADURA","SENIOR HIGH SCHOOL","29","ENTERPRENEUR","MIDDLE CLASS","5","09:06:00","WEEKLY","09:05:00","18","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"SURABAYA","EAST JAVA","FEMALE","25","ISLAM","SUNDA","SENIOR HIGH SCHOOL","25","ENTERPRENEUR","LOWER CLASS","5","03:06:00","DAILY","03:05:00","57","DISAGREE","DISAGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","DISAGREE","AGREE","DISAGREE","DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
